,SpeakerDyad,ListenerDyad,SpeakerExtract,ListenerExtract,SpeakerID,ListenerID,VideoPath,AudioPath,Condition,Modality,SpeakerSex,Duration,DisplayedDyad
357,18,18,1,3,F5,M5,./stim/processed_extracts/fake/18\1_3_va.mov,./stim/processed_extracts/audio/18/1_3_audio.wav,fake_wd,va,F,9,18
358,18,18,1,3,F5,M5,./stim/processed_extracts/fake/18\1_3_vv.mov,./stim/processed_extracts/audio/18/1_3_audio.wav,fake_wd,vv,F,9,18
359,18,18,1,3,F5,M5,./stim/processed_extracts/fake/18\1_3_vva.mov,./stim/processed_extracts/audio/18/1_3_audio.wav,fake_wd,vva,F,9,18
360,19,19,2,5,M6,F6,./stim/processed_extracts/fake/19\2_5_va.mov,./stim/processed_extracts/audio/19/2_5_audio.wav,fake_wd,va,M,8,19
361,19,19,2,5,M6,F6,./stim/processed_extracts/fake/19\2_5_vv.mov,./stim/processed_extracts/audio/19/2_5_audio.wav,fake_wd,vv,M,8,19
362,19,19,2,5,M6,F6,./stim/processed_extracts/fake/19\2_5_vva.mov,./stim/processed_extracts/audio/19/2_5_audio.wav,fake_wd,vva,M,8,19
363,24,24,2,1,M8,F5,./stim/processed_extracts/fake/24\1_2_va.mov,./stim/processed_extracts/audio/24/1_2_audio.wav,fake_wd,va,M,7,24
364,24,24,2,1,M8,F5,./stim/processed_extracts/fake/24\1_2_vv.mov,./stim/processed_extracts/audio/24/1_2_audio.wav,fake_wd,vv,M,7,24
365,24,24,2,1,M8,F5,./stim/processed_extracts/fake/24\1_2_vva.mov,./stim/processed_extracts/audio/24/1_2_audio.wav,fake_wd,vva,M,7,24
366,26,26,2,1,M8,F6,./stim/processed_extracts/fake/26\1_2_va.mov,./stim/processed_extracts/audio/26/1_2_audio.wav,fake_wd,va,M,9,26
367,26,26,2,1,M8,F6,./stim/processed_extracts/fake/26\1_2_vv.mov,./stim/processed_extracts/audio/26/1_2_audio.wav,fake_wd,vv,M,9,26
368,26,26,2,1,M8,F6,./stim/processed_extracts/fake/26\1_2_vva.mov,./stim/processed_extracts/audio/26/1_2_audio.wav,fake_wd,vva,M,9,26
