Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66a7b196c61dad29ee0faf18,665f1f23437445b598cbe455,APPROVED,Not Applicable,2024-07-29T15:13:32.579000Z,2024-07-29T15:26:11.977000Z,2024-07-29T15:28:39.779000Z,2024-07-29T15:28:09.439790Z,760.0,CDDT2OUD,56,French,37,Female,White,Canada,Canada,Canada,French,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66a7b1afbc2dd92f6b03548e,659d6f2172e86cd737d0d085,APPROVED,Not Applicable,2024-07-29T15:13:57.136000Z,2024-07-29T15:27:24.901000Z,2024-07-29T15:29:28.709000Z,2024-07-29T15:28:38.320577Z,808.0,CDDT2OUD,30,French,24,Female,White,France,France,France,French,Yes,Other
66a7b1bf773a8f4208aed584,5e4f73d0ca55663b5b9d18b0,APPROVED,Not Applicable,2024-07-29T15:14:16.064000Z,2024-07-29T15:54:16.769000Z,2024-07-29T15:55:14.497000Z,2024-07-29T15:54:42.223893Z,2401.0,CDDT2OUD,302,"English, French, Russian",43,Female,Mixed,Russian Federation,France,Russian Federation,Russian,No,Other
66a7b1cbaca41d075caed56e,657dbd3c0eefa677ce29b3f9,APPROVED,Not Applicable,2024-07-29T15:14:43.038000Z,2024-07-29T15:24:36.238000Z,2024-07-29T15:24:36.857000Z,2024-07-29T15:24:36.732935Z,594.0,CDDT2OUD,85,French,28,Male,Asian,France,France,France,French,No,Full-Time
66a7b1df48779057432b53ba,6680c0e2967e31f7749b8812,APPROVED,Not Applicable,2024-07-29T15:14:44.732000Z,2024-07-29T15:28:21.466000Z,2024-07-29T15:30:06.850000Z,2024-07-29T15:29:06.286588Z,817.0,CDDT2OUD,4,"English, French, German, Khmer",18,Male,White,France,France,Germany,Khmer,Yes,DATA_EXPIRED
66a7b1e82cb5279f9e29dff6,66706e3819fcd0fd1729fc28,RETURNED,Not Applicable,2024-07-29T15:15:01.168000Z,,,2024-07-29T21:40:42.660689Z,,,22,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7b1fb91a53149333becdb,669e83b9b0c4e9463d19ff7e,APPROVED,Not Applicable,2024-07-29T15:15:13.209000Z,2024-07-29T15:29:01.246000Z,2024-07-29T15:30:37.752000Z,2024-07-29T15:29:26.311627Z,829.0,CDDT2OUD,7,French,19,Male,White,France,France,France,French,Yes,Other
66a7b202b5ed822b70fd791d,667c2cddb2f0c07146aa3b66,RETURNED,Not Applicable,2024-07-29T15:26:00.057000Z,,,2024-07-29T21:40:42.663995Z,,,21,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7b208f8f3cf7a9a9740d3,655c2f58e949a617a358afb9,APPROVED,Not Applicable,2024-07-29T15:15:34.536000Z,2024-07-29T15:32:13.245000Z,2024-07-29T15:32:15.774000Z,2024-07-29T15:32:15.682927Z,999.0,CDDT2OUD,126,"English, French",33,Female,White,Canada,Canada,Canada,English,No,Full-Time
66a7b20b427f8ec1f491f016,5dd73f496ca7e76e32b1aa16,APPROVED,Not Applicable,2024-07-29T15:15:23.689000Z,2024-07-29T15:29:13.695000Z,2024-07-29T15:30:44.644000Z,2024-07-29T15:29:34.152225Z,831.0,CDDT2OUD,1637,"English, French",60,Male,White,United States,France,United States,English,No,DATA_EXPIRED
