,trial,condition,listener_au,duration,dyad,times_presented,model_performance,subject_accuracy,confidence,genuineness
111,./stim/processed_extracts/true/8\1_va.mov,true,AU14,7,8,7,0.3833497900449061,0.42857142857142855,2.142857142857143,0.42857142857142855
112,./stim/processed_extracts/true/8\3_va.mov,true,AU14,5,8,5,0.18066177237625997,0.6,1.8,0.6
113,./stim/processed_extracts/true/9\2_va.mov,true,AU14,6,9,8,-0.515444156569786,1.0,3.625,1.0
114,./stim/processed_extracts/true/10\5_va.mov,true,AU14,12,10,9,0.03654798287038177,0.4444444444444444,2.5555555555555554,0.4444444444444444
115,./stim/processed_extracts/true/11\7_va.mov,true,AU14,22,11,8,0.14385101979726883,0.875,3.25,0.875
116,./stim/processed_extracts/true/11\8_va.mov,true,AU14,24,11,5,0.19838515753315075,0.4,2.8,0.4
117,./stim/processed_extracts/true/11\9_va.mov,true,AU14,19,11,6,-0.20836811591679028,0.6666666666666666,3.3333333333333335,0.6666666666666666
118,./stim/processed_extracts/true/12\1_va.mov,true,AU14,8,12,5,-0.505620849316552,0.6,2.8,0.6
119,./stim/processed_extracts/true/12\3_va.mov,true,AU14,13,12,7,0.3230906396558827,0.42857142857142855,3.142857142857143,0.42857142857142855
120,./stim/processed_extracts/true/13\2_va.mov,true,AU14,12,13,10,0.24982951088017483,0.5,2.4,0.5
121,./stim/processed_extracts/true/13\6_va.mov,true,AU14,18,13,6,0.1169149391705808,1.0,3.0,1.0
122,./stim/processed_extracts/true/14\2_va.mov,true,AU14,7,14,5,-0.12676804628220043,0.4,2.6,0.4
123,./stim/processed_extracts/true/14\3_va.mov,true,AU14,15,14,8,0.07776097245690824,0.625,3.375,0.625
124,./stim/processed_extracts/true/15\1_va.mov,true,AU14,8,15,6,-0.2998836622364965,0.5,3.3333333333333335,0.5
125,./stim/processed_extracts/true/15\2_va.mov,true,AU14,13,15,6,0.22979662922885227,1.0,2.8333333333333335,1.0
126,./stim/processed_extracts/true/16\3_va.mov,true,AU14,6,16,6,-0.050458223269812766,0.8333333333333334,2.3333333333333335,0.8333333333333334
127,./stim/processed_extracts/true/16\4_va.mov,true,AU14,7,16,10,0.1914713404390146,0.4,2.3,0.4
128,./stim/processed_extracts/true/18\4_va.mov,true,AU14,9,18,5,0.15472189908413359,0.4,2.8,0.4
129,./stim/processed_extracts/true/19\1_va.mov,true,AU14,7,19,9,-0.007573919308952206,0.5555555555555556,3.111111111111111,0.5555555555555556
130,./stim/processed_extracts/true/19\4_va.mov,true,AU14,10,19,7,0.25658261496088136,1.0,3.2857142857142856,1.0
131,./stim/processed_extracts/true/21\2_va.mov,true,AU14,15,21,8,-0.01913480379314096,0.25,2.375,0.25
132,./stim/processed_extracts/true/21\3_va.mov,true,AU14,13,21,6,-0.0112986208775563,1.0,4.0,1.0
133,./stim/processed_extracts/true/22\2_va.mov,true,AU14,8,22,7,0.25128213996511084,0.8571428571428571,2.4285714285714284,0.8571428571428571
134,./stim/processed_extracts/true/23\1_va.mov,true,AU14,9,23,3,0.33274647902105847,0.0,2.0,0.0
135,./stim/processed_extracts/true/23\3_va.mov,true,AU14,7,23,4,-0.12845987336786538,0.5,1.5,0.5
136,./stim/processed_extracts/true/24\3_va.mov,true,AU14,10,24,6,0.24498122831889874,0.6666666666666666,2.1666666666666665,0.6666666666666666
137,./stim/processed_extracts/true/24\4_va.mov,true,AU14,8,24,7,-0.054057617148845605,0.42857142857142855,2.5714285714285716,0.42857142857142855
138,./stim/processed_extracts/true/24\5_va.mov,true,AU14,8,24,2,0.4959851068124016,1.0,2.5,1.0
139,./stim/processed_extracts/true/26\4_va.mov,true,AU14,10,26,5,-0.32103802549980354,0.6,2.4,0.6
140,./stim/processed_extracts/true/26\6_va.mov,true,AU14,7,26,6,-0.27670643153088964,0.5,3.0,0.5
141,./stim/processed_extracts/true/27\1_va.mov,true,AU14,8,27,4,0.5740818569391362,0.75,2.25,0.75
142,./stim/processed_extracts/true/27\3_va.mov,true,AU14,11,27,7,0.17427266483654766,0.7142857142857143,3.0,0.7142857142857143
143,./stim/processed_extracts/true/28\1_va.mov,true,AU14,8,28,6,0.27677558027735494,0.6666666666666666,3.3333333333333335,0.6666666666666666
144,./stim/processed_extracts/true/28\3_va.mov,true,AU14,6,28,6,-0.021447674930450796,0.6666666666666666,1.6666666666666667,0.6666666666666666
145,./stim/processed_extracts/true/29\1_va.mov,true,AU14,6,29,5,0.4863094851418088,0.8,2.0,0.8
146,./stim/processed_extracts/true/30\3_va.mov,true,AU14,13,30,6,-0.029951561564926184,1.0,2.1666666666666665,1.0
147,./stim/processed_extracts/true/31\3_va.mov,true,AU14,9,31,5,0.1139206735854714,0.6,3.0,0.6
148,./stim/processed_extracts/true/31\7_va.mov,true,AU14,10,31,6,-0.4423524506479222,1.0,3.0,1.0
149,./stim/processed_extracts/true/31\8_va.mov,true,AU14,10,31,3,0.16153508235396857,0.6666666666666666,2.6666666666666665,0.6666666666666666
150,./stim/processed_extracts/true/32\1_va.mov,true,AU14,14,32,7,-0.09036633657725775,0.8571428571428571,2.2857142857142856,0.8571428571428571
151,./stim/processed_extracts/true/32\3_va.mov,true,AU14,11,32,9,0.03871118388797841,0.7777777777777778,2.2222222222222223,0.7777777777777778
152,./stim/processed_extracts/true/34\5_va.mov,true,AU14,16,34,9,-0.03618143698710698,1.0,3.111111111111111,1.0
153,./stim/processed_extracts/true/34\7_va.mov,true,AU14,9,34,4,0.5223763520984954,0.25,2.0,0.25
154,./stim/processed_extracts/true/35\2_va.mov,true,AU14,9,35,5,-0.19928675434572138,0.8,3.0,0.8
155,./stim/processed_extracts/true/35\5_va.mov,true,AU14,7,35,4,-0.2820435901578191,0.75,2.5,0.75
156,./stim/processed_extracts/true/36\3_va.mov,true,AU14,9,36,6,-0.004809786533158004,0.16666666666666666,3.1666666666666665,0.16666666666666666
157,./stim/processed_extracts/true/36\4_va.mov,true,AU14,13,36,6,-0.2739510280040507,0.5,2.5,0.5
158,./stim/processed_extracts/true/37\1_va.mov,true,AU14,6,37,8,0.24624823984083735,0.625,3.0,0.625
159,./stim/processed_extracts/true/37\4_va.mov,true,AU14,7,37,5,-0.05478051359739974,0.6,2.6,0.6
160,./stim/processed_extracts/true/38\4_va.mov,true,AU14,16,38,5,0.27512856476646314,1.0,2.8,1.0
161,./stim/processed_extracts/true/39\1_va.mov,true,AU14,7,39,6,0.1140895811039319,1.0,3.1666666666666665,1.0
162,./stim/processed_extracts/true/39\3_va.mov,true,AU14,10,39,5,-0.11010162398622829,1.0,3.2,1.0
163,./stim/processed_extracts/true/40\1_va.mov,true,AU14,7,40,4,0.20344273681849118,0.5,2.5,0.5
164,./stim/processed_extracts/true/40\2_va.mov,true,AU14,12,40,9,-0.060354047447868424,0.6666666666666666,2.0,0.6666666666666666
165,./stim/processed_extracts/true/40\4_va.mov,true,AU14,15,40,5,0.04808643960422641,0.8,2.8,0.8
166,./stim/processed_extracts/true/41\1_va.mov,true,AU14,9,41,6,0.44602791534222014,0.5,2.5,0.5
167,./stim/processed_extracts/true/42\5_va.mov,true,AU14,13,42,6,0.1376958153051533,0.8333333333333334,3.3333333333333335,0.8333333333333334
168,./stim/processed_extracts/true/43\2_va.mov,true,AU14,7,43,5,-0.1130151979705574,1.0,3.2,1.0
169,./stim/processed_extracts/true/43\4_va.mov,true,AU14,8,43,8,-0.04485725525375111,0.875,2.875,0.875
170,./stim/processed_extracts/true/43\6_va.mov,true,AU14,7,43,4,-0.2990435546155487,1.0,2.75,1.0
171,./stim/processed_extracts/true/44\2_va.mov,true,AU14,12,44,11,0.16576972033029003,0.5454545454545454,2.272727272727273,0.5454545454545454
172,./stim/processed_extracts/true/44\3_va.mov,true,AU14,8,44,4,0.19406699005108213,0.75,2.75,0.75
173,./stim/processed_extracts/true/45\3_va.mov,true,AU14,7,45,8,-0.23998548172568682,0.125,2.75,0.125
174,./stim/processed_extracts/true/46\2_va.mov,true,AU14,8,46,5,-0.007839219171993334,0.4,2.8,0.4
175,./stim/processed_extracts/true/47\3_va.mov,true,AU14,9,47,5,0.20693384880518584,0.2,1.8,0.2
176,./stim/processed_extracts/true/47\7_va.mov,true,AU14,13,47,5,-0.004047937314148416,0.8,2.8,0.8
177,./stim/processed_extracts/true/48\5_va.mov,true,AU14,12,48,9,0.09479465125350674,0.5555555555555556,2.4444444444444446,0.5555555555555556
178,./stim/processed_extracts/true/48\8_va.mov,true,AU14,8,48,7,-0.09162744679581736,0.42857142857142855,3.2857142857142856,0.42857142857142855
179,./stim/processed_extracts/true/49\1_va.mov,true,AU14,9,49,6,-0.19508726070780183,0.6666666666666666,2.3333333333333335,0.6666666666666666
180,./stim/processed_extracts/true/50\1_va.mov,true,AU14,8,50,5,-0.10360350011334392,0.4,2.4,0.4
181,./stim/processed_extracts/true/51\3_va.mov,true,AU14,7,51,8,-0.08903614817035041,0.5,2.0,0.5
182,./stim/processed_extracts/true/52\2_va.mov,true,AU14,10,52,5,0.08368813624985896,0.6,2.6,0.6
183,./stim/processed_extracts/true/52\3_va.mov,true,AU14,10,52,8,-0.025695807104704062,0.75,2.5,0.75
184,./stim/processed_extracts/true/53\1_va.mov,true,AU14,7,53,4,0.08465865047473309,0.75,2.0,0.75
185,./stim/processed_extracts/true/53\2_va.mov,true,AU14,11,53,9,-0.09713694848677991,0.7777777777777778,2.5555555555555554,0.7777777777777778
186,./stim/processed_extracts/true/54\1_va.mov,true,AU14,7,54,4,0.30579116068438517,0.5,2.5,0.5
187,./stim/processed_extracts/true/54\3_va.mov,true,AU14,10,54,4,-0.07281119492635889,0.75,3.0,0.75
188,./stim/processed_extracts/true/54\5_va.mov,true,AU14,8,54,4,-0.2821808167464673,0.0,2.5,0.0
189,./stim/processed_extracts/true/55\1_va.mov,true,AU14,14,55,8,0.317737557327223,0.25,2.375,0.25
190,./stim/processed_extracts/true/55\6_va.mov,true,AU14,9,55,8,0.4460459673984721,0.625,2.25,0.625
191,./stim/processed_extracts/true/56\1_va.mov,true,AU14,7,56,7,-0.09041154688535423,0.7142857142857143,2.4285714285714284,0.7142857142857143
192,./stim/processed_extracts/true/57\1_va.mov,true,AU14,11,57,3,-0.2285005293321946,1.0,2.6666666666666665,1.0
193,./stim/processed_extracts/true/57\3_va.mov,true,AU14,13,57,6,0.041473077951517966,0.8333333333333334,2.6666666666666665,0.8333333333333334
194,./stim/processed_extracts/true/58\3_va.mov,true,AU14,9,58,4,0.316738279695886,0.75,2.5,0.75
195,./stim/processed_extracts/true/58\5_va.mov,true,AU14,10,58,4,0.2285618395606688,0.25,2.75,0.25
196,./stim/processed_extracts/true/59\1_va.mov,true,AU14,9,59,6,0.4171228724390553,0.6666666666666666,2.1666666666666665,0.6666666666666666
197,./stim/processed_extracts/true/59\3_va.mov,true,AU14,10,59,4,0.34385620775129716,0.75,2.5,0.75
198,./stim/processed_extracts/true/60\1_va.mov,true,AU14,6,60,6,0.2555117548756814,0.3333333333333333,2.3333333333333335,0.3333333333333333
199,./stim/processed_extracts/true/60\5_va.mov,true,AU14,14,60,3,-0.07009944422788522,1.0,3.0,1.0
200,./stim/processed_extracts/true/1\3_va.mov,true,AU15,26,1,6,0.1030203119601853,1.0,3.3333333333333335,1.0
201,./stim/processed_extracts/true/2\1_va.mov,true,AU15,11,2,6,0.09651289870719736,0.3333333333333333,3.5,0.3333333333333333
202,./stim/processed_extracts/true/3\2_va.mov,true,AU15,15,3,5,0.1500291770906829,0.8,3.2,0.8
203,./stim/processed_extracts/true/3\7_va.mov,true,AU15,7,3,5,-0.2017136482541824,0.4,3.2,0.4
204,./stim/processed_extracts/true/4\4_va.mov,true,AU15,7,4,7,-0.13624744648639248,0.7142857142857143,2.4285714285714284,0.7142857142857143
205,./stim/processed_extracts/true/4\7_va.mov,true,AU15,19,4,5,0.204002924109723,0.8,3.4,0.8
206,./stim/processed_extracts/true/5\1_va.mov,true,AU15,19,5,4,-0.012668112830911269,1.0,3.0,1.0
207,./stim/processed_extracts/true/5\2_va.mov,true,AU15,15,5,4,0.2020952030986181,0.5,3.25,0.5
208,./stim/processed_extracts/true/5\5_va.mov,true,AU15,7,5,5,0.06841572342041116,0.6,2.4,0.6
209,./stim/processed_extracts/true/6\3_va.mov,true,AU15,23,6,2,0.011289718490907985,1.0,4.0,1.0
210,./stim/processed_extracts/true/7\3_va.mov,true,AU15,7,7,9,0.08079598414893252,0.7777777777777778,2.7777777777777777,0.7777777777777778
211,./stim/processed_extracts/true/8\1_va.mov,true,AU15,7,8,7,0.3174049167143153,0.42857142857142855,2.142857142857143,0.42857142857142855
212,./stim/processed_extracts/true/8\3_va.mov,true,AU15,5,8,5,0.2952014423271661,0.6,1.8,0.6
213,./stim/processed_extracts/true/9\2_va.mov,true,AU15,6,9,8,0.22028297214257622,1.0,3.625,1.0
214,./stim/processed_extracts/true/10\5_va.mov,true,AU15,12,10,9,0.028582191929556893,0.4444444444444444,2.5555555555555554,0.4444444444444444
215,./stim/processed_extracts/true/11\7_va.mov,true,AU15,22,11,8,-0.044959787266118975,0.875,3.25,0.875
216,./stim/processed_extracts/true/11\8_va.mov,true,AU15,24,11,5,0.10995008733209025,0.4,2.8,0.4
217,./stim/processed_extracts/true/11\9_va.mov,true,AU15,19,11,6,0.12807178064705446,0.6666666666666666,3.3333333333333335,0.6666666666666666
218,./stim/processed_extracts/true/12\1_va.mov,true,AU15,8,12,5,-0.4065564861574721,0.6,2.8,0.6
219,./stim/processed_extracts/true/12\3_va.mov,true,AU15,13,12,7,-0.21182539881090234,0.42857142857142855,3.142857142857143,0.42857142857142855
220,./stim/processed_extracts/true/13\2_va.mov,true,AU15,12,13,10,0.011377417834679975,0.5,2.4,0.5
221,./stim/processed_extracts/true/13\6_va.mov,true,AU15,18,13,6,-0.008214689095008696,1.0,3.0,1.0
